Yota様より(許可有り)

ItemID Name
-装備ID
4511AA26 そまつなうでわ
DB753F85 安っぽいうでわ
DC18FB9C ロックなうでわ
AC720F13 パワフルなうでわ
AB1FCB0A 超力のうでわ 
3CCD1282 豪気なうでわ 
357B5EA9 太陽のうでわ 
4BCA2214 a星のうでわ 
427C6E3F 鬼神のうでわ 
2B0DABF1 伝説のうでわ 
44D3C011 さびたゆびわ 
DAB755B2 ダサいゆびわ 
DDDA91AB プリティーリング
ADB06524 レインボーリング
AADDA13D げんえいのゆびわ
3D0F78B5 妖精のゆびわ 
34B9349E 月光のゆびわ 
4A084823 運命のゆびわ 
43BE0408 鬼神のゆびわ 
2ACFC1C6 伝説のゆびわ 
46957E48 古びたおまもり
D8F1EBEB ボロボロなおまもり
DF9C2FF2 ルーンのおまもり
AFF6DB7D 加護のおまもり
A89B1F64 てっぺきのおまもり
3F49C6EC 幸運のおまもり
36FF8AC7 星雲のおまもり
484EF67A 大地のおまもり
41F8BA51 鬼神のおまもり
28897F9F 伝説のおまもり
4757147F シンプルバッジ
D93381DC ブラックバッジ
DE5E45C5 ぴかぴかバッジ
AE34B14A かわいいバッジ
A9597553 はやてのバッジ
3E8BACDB オーロラバッジ
373DE0F0 流星のバッジ 
498C9C4D 雷鳴のバッジ 
403AD066 鬼神のバッジ 
294B15A8 伝説のバッジ 
421802FA セミ忍刀   
DB115340 マッスルベル 
AC1663D6 マジカルベル 
3272F675 タフベル   
4575C6E3 スピードベル 
DC7C9759 ムゲンすいとう
AB7BA7CF 天狗のうちわ 
3BC4BA5E ハッピーはっぴ
4CC38AC8 釘バット   
5C6EF7A2 どんちゃんバチ
C567A618 ロボビタミンＥ
B260968E ブリーバンド 
22DF8B1F 思い出の鈴  
B50D5297 元祖はちまき 
2B69C734 本家はちまき 
2C04032D 逆転のつるぎ 
5B0333BB 逆転のまがたま
C20A6201 逆転のかがみ 
55D8BB89 極楽玉    
43DA68CD 破邪のお札  
DAD33977 呪言の刀   
ADD409E1 呪言の杖   
33B09C42 呪言の盾   
44B7ACD4 呪言の袴   
419CD694 てかげんベルト
AF92B7B8 おさるの輪っか
FDADCD43 元帥の勲章  
64A49CF9 摂政の勲章  
13A3AC6F 関白の勲章  
8DC739CC 右大臣の勲章 
FAC0095A 左大臣の勲章 
63C958E0 大将の勲章  
14CE6876 中将の勲章  
-魂ID            
10F16846 ぶようじん坊 
67F658D0 がらあきん坊 
FEFF096A さきがけの助 
89F839FC つづかな僧  
179CAC5F やめたい師  
609B9CC9 もうせん和尚 
F992CD73 ちからモチ  
8E95FDE5 やきモチ   
1E2AE074 ダラケ刀   
692DD0E2 ザンバラ刀  
09EA5907 ダララだんびら
7EED6991 しょうブシ  
E7E4382B まさむね   
90E308BD くさなぎ   
0E879D1E むらまさ   
7980AD88 カブトさん  
E089FC32 ゲンマ将軍  
978ECCA4 黄泉ゲンスイ 
0731D135 メラメライオン
7036E1A3 グラグライオン
22C70AC4 とどろき獅子 
55C03A52 クワノ武士  
CCC96BE8 クワガ大将  
BBCE5B7E クワガ大将  
25AACEDD オオクワノ神 
52ADFE4B ベンケイ   
CBA4AFF1 からくりベンケイ
BCA39F67 くしゃ武者  
2C1C82F6 なまはげ   
5B1BB260 ズルズルづる 
3BDC3B85 かぜカモ   
4CDB0B13 さとりちゃん 
D5D25AA9 よつめ    
A2D56A3F わすれん帽  
3CB1FF9C ばか頭巾   
4BB6CF0A わらえ姉   
D2BF9EB0 青くちびる  
A5B8AE26 やまと    
3507B3B7 カブキ猿   
42008321 モテモ天   
749DAD42 モテマクール 
039A9DD4 モテヌス   
9A93CC6E バクロ婆   
ED94FCF8 ドクロ婆   
73F0695B ババァーン  
04F759CD バク     
9DFE0877 ハク     
EAF938E1 でんぱく小僧 
7A462570 でんじん   
0D4115E6 はつでんしん 
6D869C03 うんがい鏡  
1A81AC95 ヤミ鏡    
8388FD2F まぼ老師   
F48FCDB9 かげ老師   
6AEB581A ほう老師   
1DEC688C ゆきおんな  
84E53936 ふぶき姫   
F3E209A0 百鬼姫    
635D1431 キュウビ   
145A24A7 犬神     
46ABCFC0 だるだるま  
31ACFF56 だるまっちょ 
A8A5AEEC ゴリだるま  
DFA29E7A イガイガグリ 
41C60BD9 チクチクウニ 
36C13B4F しゃれこ婦人 
AFC86AF5 カラカラさん 
D8CF5A63 ほね美人   
487047F2 ムリカベ   
3F777764 むりだ城   
5FB0FE81 シロカベ   
28B7CE17 トオセンボン 
B1BE9FAD くろがねセンボン
C6B9AF3B ヨロイさん  
58DD3A98 ふじのやま  
2FDA0A0E さくらのじま 
B6D35BB4 武者かぶと  
C1D46B22 かぶと無双  
516B76B3 オオツノノ神 
266C4625 キンカク   
D828E24E ドウカク   
AF2FD2D8 ギンカク   
36268362 プラチナカク 
4121B3F4 だいだらぼっち
DF452657 うみぼうず  
A84216C1 セミまる   
314B477B カゲまる   
464C77ED ヒグラシまる 
D6F36A7C トホホギス  
A1F45AEA ブカッコウ  
C133D30F 死神鳥    
B634E399 ジバニャン  
2F3DB223 トゲニャン  
583A82B5 ワルニャン  
C65E1716 ロボニャン  
B1592780 ゴルニャン  
2850763A ダイヤニャン 
5F5746AC サファイニャン
CFE85B3D エメラルニャン
B8EF6BAB ルビーニャン 
11330271 トパニャン  
663432E7 ノガッパ   
FF3D635D たびガッパ  
883A53CB なみガッパ  
165EC668 コマさん   
6159F6FE コマじろう  
F850A744 ししコマ   
8F5797D2 とらじろう  
1FE88A43 ボー坊    
68EFBAD5 しどろもどろ 
08283330 さむガリ   
7F2F03A6 ガリ王子   
E626521C あつガルル  
9121628A モレゾウ   
0F45F729 プルファント 
7842C7BF さいの目入道 
E14B9605 ゾロ目大明神 
964CA693 天狗     
06F3BB02 ほむら天狗  
71F48B94 ひも爺    
230560F3 こめ爺    
54025065 くいい爺   
CD0B01DF じんめん犬  
BA0C3149 かおベロス  
2468A4EA 三途の犬   
536F947C 笑ウツボ   
CA66C5C6 歌ウナギ   
BD61F550 大蛇のツボ  
2DDEE8C1 ぜっこう蝶  
5AD9D857 ゼッコウ蝶  
3A1E51B2 サイコウ蝶  
4D196124 アゲアゲハ  
D410309E ワカメくん  
A3170008 コンブさん  
3D7395AB メカブちゃん 
4A74A53D キュン太郎  
D37DF487 ズキュキュン太
A47AC411 裏キュン太  
34C5D980 ホノボーノ  43C2E916 ヒョウヘンヌ 
755FC775 ヒョウヘンナ 
0258F7E3 サンタク老師 
9B51A659 ふくろじじい 
EC5696CF 聖オカン   
7232036C 心オバア   
053533FA 雷オトン   
9C3C6240 絶オジイ   
EB3B52D6 かたのり小僧 
7B844F47 かたのり親方 
0C837FD1 ぎっくり男  
6C44F634 ネガティブーン
1B43C6A2 ジャネガブーン
824A9718 かゆかゆ   
F54DA78E みちび鬼   
6B29322D えこひい鬼  
1C2E02BB ヨコドリ   
85275301 はらおドリ  
F2206397 口だけおんな 
629F7E06 おつぼね様  
15984E90 グレるりん  
4769A5F7 ゴクドー   
306E9561 アニ鬼    
A967C4DB 魔ガサス   
DE60F44D ウ魔     
400461EE しわくちゃん 
37035178 老いらん   
AE0A00C2 ふじみ御前  
D90D3054 おならず者  
49B22DC5 へこ鬼神   
3EB51D53 おすべり様  
5E7294B6 おしっしょう 
2975A420 フゥミン   
B07CF59A おねむの精  
C77BC50C ジミー    
591F50AF カゲロー   
2E186039 カイム    
B7113183 じめりんぼう 
C0160115 こおりんぼう 
50A91C84 たらりん   
27AE2C12 雨ふらし   
D9EA8879 化けあられ  
